,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
123,NEU,12.27 ,0.99%,0.12 AUD,Sell,176.366K,2.164M AUD,1.003B USD,125.00%,8764.29,0.00 USD,—
124,NHC,5.70 ,0.71%,0.04 AUD,Buy,2.477M,14.12M AUD,3.063B USD,16.60%,4.04,1.10 USD,—
125,NHF,8.36 ,4.50%,0.36 AUD,Strong Buy,1.855M,15.505M AUD,2.471B USD,15.89%,26.25,0.22 USD,—
126,NIC,0.745 ,1.36%,0.010 AUD,Sell,14.135M,10.531M AUD,1.614B USD,−15.35%,8.74,0.06 USD,—
127,NNS,2.16 ,−1.82%,−0.04 AUD,Strong Sell,1.603M,3.462M AUD,1.899B USD,0.87%,4.89,0.30 USD,616
128,NST,10.24 ,−1.16%,−0.12 AUD,Strong Sell,2.035M,20.839M AUD,7.638B USD,32.65%,55.11,0.13 USD,3.383K
129,NUF,4.95 ,−1.39%,−0.07 AUD,Strong Sell,1.184M,5.859M AUD,1.223B USD,−5.19%,12.73,0.26 USD,2.8K
130,NWL,15.76 ,2.80%,0.43 AUD,Strong Buy,497.054K,7.834M AUD,2.394B USD,14.78%,57.29,0.18 USD,—
131,NXT,12.80 ,−0.85%,−0.11 AUD,Sell,1.084M,13.875M AUD,4.254B USD,27.96%,—,−0.01 USD,283
132,ORA,3.57 ,−1.65%,−0.06 AUD,Sell,2.514M,8.976M AUD,1.931B USD,1.11%,16.42,0.15 USD,4.6K
133,ORG,8.69 ,0.23%,0.02 AUD,Strong Buy,2.335M,20.293M AUD,9.53B USD,44.02%,14.26,0.41 USD,5.5K
134,ORI,15.13 ,−0.92%,−0.14 AUD,Strong Sell,896.108K,13.558M AUD,4.453B USD,−1.01%,24.63,0.41 USD,12K
135,PDN,0.790 ,2.60%,0.020 AUD,Buy,16.564M,13.085M AUD,1.47B USD,8.57%,—,−0.01 USD,—
136,PLS,4.85 ,2.54%,0.12 AUD,Sell,26.746M,129.717M AUD,9.096B USD,56.47%,8.70,0.39 USD,452
137,PME,71.15 ,1.50%,1.05 AUD,Strong Buy,138.949K,9.886M AUD,4.689B USD,29.66%,122.69,0.39 USD,—
138,PMV,24.41 ,12.23%,2.66 AUD,Strong Buy,1.963M,47.913M AUD,2.217B USD,−2.46%,13.24,1.31 USD,—
139,PNI,9.59 ,1.91%,0.18 AUD,Neutral,213.409K,2.047M AUD,1.139B USD,−12.93%,24.59,0.26 USD,—
140,PPT,24.63 ,−0.65%,−0.16 AUD,Strong Sell,245.586K,6.049M AUD,1.776B USD,58.54%,20.69,0.83 USD,1.37K
141,PRU,1.655 ,−0.30%,−0.005 AUD,Strong Sell,2.323M,3.845M AUD,1.456B USD,0.65%,7.31,0.16 USD,—
142,PPS,4.82 ,−2.43%,−0.12 AUD,Sell,26.55K,127.971K AUD,1.125B USD,11.48%,53.26,0.06 USD,—
143,PXA,12.92 ,−0.46%,−0.06 AUD,Sell,297.798K,3.848M AUD,1.474B USD,−14.44%,141.98,0.06 USD,—
144,QAN,6.19 ,−1.28%,−0.08 AUD,Strong Sell,7.792M,48.233M AUD,6.91B USD,21.96%,19.80,0.22 USD,26.5K
145,QBE,14.77 ,−1.47%,−0.22 AUD,Sell,4.135M,61.075M AUD,14.32B USD,24.62%,15.32,0.65 USD,12K
146,QUB,2.69 ,−1.10%,−0.03 AUD,Sell,2.922M,7.859M AUD,3.075B USD,−2.16%,28.89,0.06 USD,—
147,REA,160.14 ,0.53%,0.85 AUD,Buy,146.518K,23.463M AUD,13.474B USD,21.98%,59.42,1.80 USD,3.307K
148,REH,20.50 ,0.20%,0.04 AUD,Buy,356.127K,7.301M AUD,8.462B USD,25.68%,31.43,0.44 USD,9K
149,RRG,2.17 ,−1.36%,−0.03 AUD,Sell,1.851M,4.016M AUD,1.618B USD,−19.42%,—,−0.07 USD,—
150,RHC,54.82 ,−1.62%,−0.90 AUD,Strong Sell,358.136K,19.633M AUD,8.137B USD,−23.99%,41.76,0.90 USD,86K
151,RIO,104.82 ,−0.82%,−0.87 AUD,Sell,1.17M,122.679M AUD,98.217B USD,8.09%,13.34,5.27 USD,53.726K
152,RMD,26.08 ,−0.38%,−0.10 AUD,Sell,5.464M,142.512M AUD,24.365B USD,−23.41%,28.80,0.61 USD,10.14K
153,RWC,3.89 ,−8.25%,−0.35 AUD,Sell,8.116M,31.572M AUD,2.126B USD,−5.99%,15.18,0.18 USD,—
154,S32,3.68 ,−0.27%,−0.01 AUD,Sell,7.8M,28.704M AUD,10.711B USD,−13.52%,5.20,0.49 USD,9.096K
155,SCG,2.64 ,0.00%,0.00 AUD,Sell,7.673M,20.257M AUD,8.763B USD,−5.04%,45.83,0.04 USD,3.129K
156,SDF,5.57 ,−2.62%,−0.15 AUD,Strong Sell,2.52M,14.036M AUD,3.789B USD,12.98%,30.24,0.12 USD,—
157,SEK,23.36 ,−0.64%,−0.15 AUD,Sell,1.027M,23.989M AUD,5.347B USD,2.87%,8.17,1.92 USD,—
158,SFR,6.05 ,0.17%,0.01 AUD,Sell,2.016M,12.197M AUD,1.767B USD,34.89%,60.38,0.07 USD,—
159,SGM,15.36 ,0.72%,0.11 AUD,Strong Buy,286.104K,4.395M AUD,1.881B USD,−5.38%,16.76,0.63 USD,4.306K
160,SGP,4.13 ,0.24%,0.01 AUD,Buy,5.69M,23.499M AUD,6.288B USD,10.46%,11.86,0.24 USD,1.8K
161,SGR,0.990 ,−2.46%,−0.025 AUD,Strong Sell,6.413M,6.349M AUD,1.049B USD,−40.50%,—,−0.92 USD,682
162,SHL,32.25 ,−0.98%,−0.32 AUD,Strong Sell,1.61M,51.922M AUD,9.834B USD,−6.15%,22.24,0.97 USD,—
